Client_First_Name,Client_Last_Name,Policy_Number,Attained_age_at_Issue,Gender,Marital_Status,Income_per_Annum,Employment_Status,State_Geo,Credit_Score,Risk_Appetite_Score,SnP_500_Index_Score,Social_Media_Score,Financial_Guidance_Strategy
Jim,Knight,ALBDULA000048931,36,Male,Single,65000,Working,Baltimore,350,6,7,7,Aggressive
Richard ,Piebus,ALBDULA000048932,38,Male,Married,49000,Working,South Dakota,450,4,5,7,Safetynet
Jonty ,Rhodes,ALBDULA000048933,33,Male,Single,39000,Working,North Dakota,340,8,9,4,Aggressive
Peter,Kwerton,ALBDULA000048934,39,Male,Married,34000,Working,South Dakota,560,4,5,7,Safetynet
Richard ,King,ALBDULA000048935,31,Male,Married,57000,Working,Massachussets,590,4,5,6,Safetynet
Justin,Bieber,ALBDULA000048936,26,Male,Married,65000,Working,Chicago,590,3,3,3,Safetynet
Kelly,Clarkman,ALBDULA000048937,32,Female,Married,34000,Working,New York,560,4,3,5,Safetynet
Britanny,Spears,ALBDULA000048938,38,Female,Single,26000,Working,New Jersey,480,7,8,5,Aggressive
Joseph ,Parker,ALBDULA000048939,32,Male,Married,34000,Working,New York,560,4,3,5,Safetynet
Sidharth,Malhotra,ALBDULA000048940,33,Male,Single,34000,Working,Arkansas,450,6,8,5,Aggressive
Annie,Chiu,ALBDULA000048941,38,Female,Married,43000,Working,Arkansas,600,3,2,7,Safetynet
Arnold,Stevens,ALBDULA000048942,45,Male,Single,65000,Working,Washington,580,6,7,6,Aggressive
Mary,Higgins,ALBDULA000048943,38,Female,Married,45000,Working,Washington,440,4,3,4,Safetynet
Kristy,Haddin,ALBDULA000048944,31,Female,Single,45000,Working,Arkansas,680,6,7,5,Aggressive
Armenio,Clarkman,ALBDULA000048945,43,Male,Single,69000,Working,Baltimore,510,7,8,3,Aggressive
Hades,Lightman,ALBDULA000048946,32,Male,Single,49000,Working,South Dakota,360,6,7,4,Aggressive
Arabella ,Kristy,ALBDULA000048947,33,Female,Married,560000,Working,North Dakota,670,4,5,6,Safetynet
Sachin,Tendulkar,ALBDULA000048948,45,Male,Married,90000,Working,Mumbai,600,3,7,8,Aggressive
